Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PRU,Prudential Financial Inc. Common Stock,$77.58,0.35,0.453%,28394280000.00,United States,2001,2823945,Finance,Life Insurance
PUK,Prudential Public Limited Company Common Stock,$25.28,-0.62,-2.394%,34755822657.00,United Kingdom,,600222,Finance,Life Insurance
RE,Everest Re Group Ltd. Common Stock,$344.83,3.04,0.889%,13517336000.00,Bermuda,,306560,Finance,Property-Casualty Insurers
RF,Regions Financial Corporation Common Stock,$17.88,0.35,1.997%,16707887435.00,United States,,11571047,Finance,Major Banks
RJF,Raymond James Financial Inc. Common Stock,$89.09,-2.22,-2.431%,19185667897.00,United States,,2111075,Finance,Investment Bankers/Brokers/Service
SAN,Banco Santander S.A. Sponsored ADR (Spain),$3.45,-0.04,-1.146%,57816877682.00,Spain,,8279599,Finance,Commercial Banks
SCHW,Charles Schwab Corporation (The) Common Stock,$53.26,0.37,0.70%,99422538953.00,United States,,45393077,Finance,Investment Bankers/Brokers/Service
SHG,Shinhan Financial Group Co Ltd American Depositary Shares,$26.55,-0.63,-2.318%,13508069626.00,South Korea,,270450,Finance,Major Banks
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$7.90,0.08,1.023%,53539761263.00,Japan,,3615461,Finance,Commercial Banks
SPGI,S&P Global Inc. Common Stock,$334.52,2.27,0.683%,110123984000.00,United States,,1192811,Finance,Advertising
STT,State Street Corporation Common Stock,$71.65,-1.04,-1.431%,24681892478.00,United States,,2696999,Finance,Investment Managers
SYF,Synchrony Financial Common Stock,$28.04,0.03,0.107%,12254465886.00,United States,2014,5539342,Finance,Diversified Financial Services
TFC,Truist Financial Corporation Common Stock,$32.89,0.32,0.982%,43639405810.00,United States,,18651887,Finance,Major Banks
TROW,T. Rowe Price Group Inc. Common Stock,$109.65,0.80,0.735%,24605342017.00,United States,1986,1277177,Finance,Investment Managers
TRU,TransUnion Common Stock,$58.71,0.80,1.381%,11325159000.00,United States,2015,1454116,Finance,Advertising
TRV,The Travelers Companies Inc. Common Stock,$164.91,1.05,0.641%,38274666231.00,United States,,1200276,Finance,Property-Casualty Insurers
TW,Tradeweb Markets Inc. Class A Common Stock,$74.47,0.47,0.635%,15490551988.00,United States,2019,406064,Finance,Investment Bankers/Brokers/Service
UBS,UBS Group AG Registered Ordinary Shares,$18.99,-0.18,-0.939%,59015730261.00,Switzerland,2014,9744977,Finance,Major Banks
USB,U.S. Bancorp Common Stock,$34.90,-0.16,-0.456%,53431900000.00,United States,,18619299,Finance,Major Banks
WFC,Wells Fargo & Company Common Stock,$36.23,-0.38,-1.038%,138898735296.00,United States,,35694758,Finance,Major Banks
WRB,W.R. Berkley Corporation Common Stock,$60.03,0.06,0.10%,15880696380.00,United States,,1080700,Finance,Property-Casualty Insurers
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,$226.22,0.03,0.013%,24150424664.00,United Kingdom,2001,561448,Finance,Specialty Insurers
